Name,Predicted_Global_Sales,Actual_Global_Sales,,,,,
A-Train 6,0.060484812,0.06,,-0.000484812,,,
Kururin Paradise,0.060864441,0.06,,-0.000864441,,,
NOëL: La Neige,0.070141152,0.07,,-0.000141152,,,
The Cheetah Girls,0.01019109,0.02,,0.00980891,,,
Uta no * Prince-Sama,0.020147547,0.02,,-0.000147547,,,
Ore no Shikabane o Koete Yuke,0.200014591,0.2,,-1.45912E-05,,,
Pride FC: Fighting Championships,0.29993026,0.3,,6.97404E-05,,,
Lalaloopsy,0.670075372,0.66,,-0.010075372,,,
Jikandia: The Timeless Land,0.030277848,0.03,,-0.000277848,,,
Painkiller: Hell & Damnation,0.040690176,0.04,,-0.000690176,,,
Pac-Man Party 3D,0.140262581,0.15,,0.009737419,,,
Etrian Mystery Dungeon,0.239702515,0.24,,0.000297485,,,
TimeSplitters 2,0.630867578,0.64,,0.009132422,,,
Split/Second,0.730398007,0.73,,-0.000398007,,,
Gradius Collection,0.060372181,0.06,,-0.000372181,,,
NBA Street: Showdown,0.22014527,0.22,,-0.00014527,,,
Spec Ops: The Line,0.220546655,0.23,,0.009453345,,,
Sniper Elite V2,0.020643793,0.02,,-0.000643793,,,
Cars,0.25033953,0.25,,-0.00033953,,,
Super Mario Bros.: The Lost Levels,2.65028277,2.65,,-0.00028277,,,
Disney Infinity 2.0: Marvel Super Heroes,0.060449734,0.06,,-0.000449734,,,
Kirby: Triple Deluxe,1.829961516,1.83,,3.8484E-05,,,
Digimon Adventure: Anode Tamer,0.280004352,0.28,,-4.35233E-06,,,
BlazBlue Central Fiction,0.080292694,0.08,,-0.000292694,,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,0.390345372,0.39,,-0.000345372,,,
Kung Fu Panda 2,0.090447292,0.09,,-0.000447292,,,
Bully: Scholarship Edition,0.020673849,0.03,,0.009326151,,,
Military History: Commander - Europe at War,0.010492653,0.01,,-0.000492653,,,
Jimmy Neutron: Boy Genius,0.090553917,0.09,,-0.000553917,,,
Jeopardy!,0.710338227,0.71,,-0.000338227,,,
Super Sentai Battle: Ranger Cross,0.080444805,0.08,,-0.000444805,,,
Saki: Zenkoku-hen,0.060379036,0.06,,-0.000379036,,,
Star Wars: Starfighter,1.760293812,1.76,,-0.000293812,,,
Roadsters,0.03047841,0.03,,-0.00047841,,,
Kung Fu Panda,3.039890572,3.04,,0.000109428,,,
Tsuyo Kiss: Mighty Heart,0.030146264,0.03,,-0.000146264,,,
Dai Senryaku VII: Modern Military Tactics,0.040377364,0.04,,-0.000377364,,,
Ultimate Board Game Collection,0.010262139,0.01,,-0.000262139,,,
Cool Boarders 2001,0.420225352,0.41,,-0.010225352,,,
Split/Second,0.609901898,0.6,,-0.009901898,,,
Mary-Kate and Ashley: Winners Circle,0.140445173,0.14,,-0.000445173,,,
3DS Classic Collection,0.030385002,0.03,,-0.000385002,,,
BIT.TRIP COMPLETE,0.090233207,0.09,,-0.000233207,,,
Cabela's Dangerous Hunts 2009,0.130642734,0.13,,-0.000642734,,,
Little King's Story,0.280440681,0.29,,0.009559319,,,
Madden NFL 09,1.879981212,1.88,,1.87877E-05,,,
Green Lantern: Rise of the Manhunters,0.100247659,0.11,,0.009752341,,,
Rayman 2: The Great Escape,0.640590318,0.64,,-0.000590318,,,
Harvest Moon: Frantic Farming,0.090806328,0.1,,0.009193672,,,
Microsoft Flight Simulator X Acceleration Expansion Pack,0.050329097,0.05,,-0.000329097,,,
Bakugan Battle Brawlers: Defenders of the Core,0.160234615,0.15,,-0.010234615,,,
Create,0.060355946,0.06,,-0.000355946,,,
Naruto: Path of the Ninja 2,0.239853173,0.23,,-0.009853173,,,
Shaun Palmer's Pro Snowboarder,0.730124749,0.73,,-0.000124749,,,
Black Stone: Magic & Steel,0.04003863,0.04,,-3.86304E-05,,,
Okaeri! Chibi-Robo! Happy Richie Oosouji,0.140132189,0.14,,-0.000132189,,,
NASCAR Unleashed,0.180268534,0.18,,-0.000268534,,,
Tom and Jerry in War of the Whiskers,0.060125224,0.07,,0.009874776,,,
3rd Super Robot Wars Z Jigoku Hen,0.230010755,0.23,,-1.07554E-05,,,
Praetorians,0.04063227,0.04,,-0.00063227,,,
Banjo-Kazooie: Nuts & Bolts,0.750560291,0.76,,0.009439709,,,
Metal Gear Solid: Snake Eater 3D,0.380104445,0.38,,-0.000104445,,,
Kid Adventures: Sky Captain,0.140249386,0.14,,-0.000249386,,,
Batman: Arkham City,0.370430462,0.36,,-0.010430462,,,
MotoGP 15,0.030586869,0.03,,-0.000586869,,,
Harry Potter: Quidditch World Cup,0.400191404,0.4,,-0.000191404,,,
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,0.520320177,0.52,,-0.000320177,,,
NBA 2K7,0.370196693,0.37,,-0.000196693,,,
Paperboy / Rampage,0.1401866,0.13,,-0.0101866,,,
Toukiden: The Age of Demons,0.180432014,0.18,,-0.000432014,,,
Halo 2,0.090486288,0.09,,-0.000486288,,,
Wizardry: Tale of the Forsaken Land,0.080227137,0.09,,0.009772863,,,
Family GameShow,0.090178438,0.09,,-0.000178438,,,
Harvest Moon: Another Wonderful Life,0.249888718,0.24,,-0.009888718,,,
Sword Art Online: Lost Song,0.100027382,0.1,,-2.73824E-05,,,
The Crew: Wild Run,0.090670265,0.1,,0.009329735,,,
Madden NFL 06,0.230294935,0.23,,-0.000294935,,,
Conception II: Children of the Seven Stars,0.169808164,0.17,,0.000191836,,,
EA Sports MMA,0.370086648,0.37,,-8.66476E-05,,,
Shaun White Snowboarding: World Stage,0.290081508,0.29,,-8.15085E-05,,,
Fight Club,0.179888971,0.18,,0.000111029,,,
Disney's Donald Duck: Goin' Quackers,0.080532081,0.08,,-0.000532081,,,
Fighting Force 64,0.110450223,0.11,,-0.000450223,,,
The Walking Dead: Survival Instinct,0.510514297,0.51,,-0.000514297,,,
Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,0.010148823,0.01,,-0.000148823,,,
Army Men 3D,1.280370109,1.28,,-0.000370109,,,
Natural Doctrine,0.099791393,0.1,,0.000208607,,,
Battlestations: Pacific,0.320450917,0.32,,-0.000450917,,,
Miyako: Awayuki no Utage,0.010453768,0.01,,-0.000453768,,,
Mashiro Iro Symphony: *mutsu-no-hana,0.030146264,0.03,,-0.000146264,,,
Solitaire Overload,0.420113549,0.42,,-0.000113549,,,
Asura's Wrath,0.41044344,0.4,,-0.01044344,,,
Commander: Conquest of the Americas,0.020712279,0.03,,0.009287721,,,
Barbie as the Princess and the Pauper,0.009954482,0.02,,0.010045518,,,
Ultimate Puzzle Games: Sudoku Edition,0.120664693,0.12,,-0.000664693,,,
Epic Mickey 2: The Power of Two,0.470171541,0.47,,-0.000171541,,,
The Last Guy,0.030231409,0.03,,-0.000231409,,,
TRON: Evolution,0.0606675,0.07,,0.0093325,,,
Magical ZhuZhu Princess: Carriages & Castles,0.180321686,0.19,,0.009678314,,,
The Eye of Judgment: Legends,0.010342181,0.01,,-0.000342181,,,
PGR3 - Project Gotham Racing 3,0.600417539,0.6,,-0.000417539,,,
Zombie Hunters 2,0.020452484,0.02,,-0.000452484,,,
Jeremy McGrath Supercross 2000,0.720285505,0.71,,-0.010285505,,,
Puyo Pop Fever(us sales),0.030870408,0.03,,-0.000870408,,,
Arcade Zone,0.150177568,0.15,,-0.000177568,,,
PoPoLoCrois: Hajimari no Bouken,0.160019711,0.16,,-1.97107E-05,,,
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,0.580398962,0.57,,-0.010398962,,,
Captain America: Super Soldier,0.170415781,0.17,,-0.000415781,,,
Blast Lacrosse,0.050365321,0.06,,0.009634679,,,
Street Fighter IV,4.169575207,4.16,,-0.009575207,,,
Tempest 3X,0.080689356,0.08,,-0.000689356,,,
Need for Speed: Hot Pursuit,0.450391077,0.46,,0.009608923,,,
Hissatsu Pachinko Collection 3,0.030382872,0.03,,-0.000382872,,,
Darius II,0.030693427,0.03,,-0.000693427,,,
Tony Hawk's American Wasteland (Old all region sales),1.630213767,1.62,,-0.010213767,,,
Karaoke Revolution,0.130618423,0.12,,-0.010618423,,,
Densetsu no Stafi 3,0.240586296,0.24,,-0.000586296,,,
Mario Superstar Baseball,1.459978312,1.46,,2.16877E-05,,,
SD Gundam G Generation: Cross Drive,0.260459222,0.26,,-0.000459222,,,
Colony Wars III: Red Sun,0.130325265,0.12,,-0.010325265,,,
Tears to Tiara II: Heir of the Overlord,0.160153463,0.15,,-0.010153463,,,
Shaman King: Soul Fight,0.050615445,0.05,,-0.000615445,,,
G-Force,0.440338023,0.44,,-0.000338023,,,
Amazing Island,0.050314844,0.06,,0.009685156,,,
AKB1/48: Idol to Koishitara...,0.410334252,0.41,,-0.000334252,,,
Justice League Heroes,0.08992108,0.09,,7.89204E-05,,,
X-Men Origins: Wolverine - Uncaged Edition,0.0204539,0.03,,0.0095461,,,
Shining Force EXA,0.099833451,0.1,,0.000166549,,,
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,0.110374898,0.11,,-0.000374898,,,
Band Hero,0.970177427,0.97,,-0.000177427,,,
Wild Earth: African Safari,0.13023819,0.12,,-0.01023819,,,
Batman: Rise of Sin Tzu,0.07034678,0.07,,-0.00034678,,,
Dead Rising,2.079729699,2.08,,0.000270301,,,
Elvandia Story,0.020037621,0.02,,-3.76213E-05,,,
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,0.030330732,0.03,,-0.000330732,,,
Tales of Berseria,0.230128184,0.23,,-0.000128184,,,
Jet Moto 2,1.930359066,1.94,,0.009640934,,,
Game of Thrones (Telltale),0.050141715,0.05,,-0.000141715,,,
WipEout,0.470424756,0.47,,-0.000424756,,,
Valkyrie Profile,0.80015827,0.81,,0.00984173,,,
Dynasty Warriors 6,0.240656443,0.25,,0.009343557,,,
Garfield: Lasagna World Tour,0.160244174,0.17,,0.009755826,,,
Spyro: A Hero's Tail,0.650399074,0.64,,-0.010399074,,,
Castlevania: Lords of Shadow - Mirror of Fate,0.150443934,0.15,,-0.000443934,,,
Dungeon Travelers 2: The Royal Library & The Monster Seal,0.110026285,0.1,,-0.010026285,,,
FIFA Soccer 13,5.159820907,5.16,,0.000179093,,,
Super Famista 5,0.500302739,0.5,,-0.000302739,,,
WCW Nitro,0.21011886,0.21,,-0.00011886,,,
Mega Man ZX,0.280316912,0.28,,-0.000316912,,,
The Bouncer,0.99048268,0.99,,-0.00048268,,,
Disney Infinity,0.970207363,0.97,,-0.000207363,,,
Metal Fight Beyblade,0.090443529,0.09,,-0.000443529,,,
Worms World Party,0.050454907,0.05,,-0.000454907,,,
Thief (2014),0.100450367,0.1,,-0.000450367,,,
Cold War,0.03079021,0.02,,-0.01079021,,,
Plants vs. Zombies,1.100238763,1.1,,-0.000238763,,,
MX SuperFly featuring Ricky Carmichael,0.090475716,0.1,,0.009524284,,,
Angry Birds Trilogy,0.170412779,0.16,,-0.010412779,,,
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,0.030451208,0.03,,-0.000451208,,,
InuYasha: The Secret of the Cursed Mask,0.440186359,0.43,,-0.010186359,,,
TMNT: Mutant Melee,0.070339955,0.07,,-0.000339955,,,
Dark Angel: Vampire Apocalypse,0.080260545,0.09,,0.009739455,,,
The Fairly Odd Parents: Breakin Da Rules,0.670552008,0.67,,-0.000552008,,,
Samurai Warriors,0.070582896,0.07,,-0.000582896,,,
Bicycle Casino 2005,0.230371699,0.23,,-0.000371699,,,
Monster Hunter Freedom 2,2.569709457,2.57,,0.000290543,,,
NBA Jam,2.050240353,2.05,,-0.000240353,,,
Megamind: The Blue Defender,0.129936211,0.13,,6.37892E-05,,,
Harvest Moon: The Tale of Two Towns,0.300306387,0.3,,-0.000306387,,,
Pokemon Stadium,5.450155631,5.45,,-0.000155631,,,
Tony Hawk's Underground 2,0.490429096,0.5,,0.009570904,,,
High Heat Baseball 2002,0.04036589,0.04,,-0.00036589,,,
The SpongeBob SquarePants Movie,1.460338019,1.46,,-0.000338019,,,
Mimana Iyar Chronicle,0.09025722,0.09,,-0.00025722,,,
Rugby League Live 3,0.020251758,0.02,,-0.000251758,,,
Phantasy Star Online 2 Episode 4: Deluxe Package,0.040035062,0.04,,-3.50615E-05,,,
Castlevania: Dawn of Sorrow,0.430546425,0.43,,-0.000546425,,,
Madden NFL 15,2.049966767,2.05,,3.32326E-05,,,
Famicom Mini: Makaimura,0.080611601,0.09,,0.009388399,,,
Karaoke Revolution Presents American Idol Encore,0.110312179,0.11,,-0.000312179,,,
Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box,0.010333292,0.01,,-0.000333292,,,
Just Dance 2017,0.030285098,0.03,,-0.000285098,,,
Tony Hawk's Pro Skater 3,1.670194872,1.67,,-0.000194872,,,
Fight Night Round 3,0.510216959,0.52,,0.009783041,,,
Pokemon Pinball,5.310005352,5.31,,-5.3519E-06,,,
"NewU Fitness First Mind Body, Yoga & Pilates Workout",0.140353926,0.14,,-0.000353926,,,
GTI Club: Supermini Festa!,0.010478824,0.02,,0.009521176,,,
Guitar Hero,2.380135484,2.38,,-0.000135484,,,
California Speed,0.160379775,0.16,,-0.000379775,,,
Legion: The Legend of Excalibur,0.230237685,0.22,,-0.010237685,,,
Custom Robo,0.37008141,0.37,,-8.14098E-05,,,
Eigo de Tabisuru: Little Charo,0.060379036,0.06,,-0.000379036,,,
Earth Defense Force 2025.1: The Shadow of New Despair,0.100442246,0.1,,-0.000442246,,,
Star Ocean: The Second Story,1.099813268,1.1,,0.000186732,,,
Dancing Blade II: Tears of Eden,0.030146264,0.03,,-0.000146264,,,
Darkstalkers 3,0.190116644,0.19,,-0.000116644,,,
Rocket Power: Dream Scheme,0.410434149,0.4,,-0.010434149,,,
The Fairly Odd Parents: Game Boy Advance Video Volume 2,0.420365244,0.42,,-0.000365244,,,
Power Pro Kun Pocket 1+2,0.1403488,0.15,,0.0096512,,,
WWE 2K17,0.260589801,0.26,,-0.000589801,,,
Mount & Blade,0.020040497,0.02,,-4.04972E-05,,,
Rugby 15,0.120267518,0.11,,-0.010267518,,,
Indiana Jones and the Staff of Kings,0.250661582,0.25,,-0.000661582,,,
Bravely Second: End Layer,0.479842573,0.49,,0.010157427,,,
Antz Extreme Racing,0.050381638,0.04,,-0.010381638,,,
Lifeline,0.069890268,0.07,,0.000109732,,,
Triple Pack: Xbox Live Arcade Compilation,0.030502431,0.03,,-0.000502431,,,
Ecco: The Tides of Time,0.070141152,0.07,,-0.000141152,,,
Muchi Muchi Pork & Pink Sweets,0.02069471,0.02,,-0.00069471,,,
Paws & Claws: Pet Resort,0.160328366,0.16,,-0.000328366,,,
Stadium Games,0.040365167,0.04,,-0.000365167,,,
Grisaia no Rakuen: Le Eden de la Grisaia,0.020147547,0.02,,-0.000147547,,,
WWE Wrestlemania X8,0.490223527,0.49,,-0.000223527,,,
Call of Duty: Modern Warfare 3,13.32928097,13.32,,-0.009280965,,,
Murdered: Soul Suspect,0.050263733,0.05,,-0.000263733,,,
Disney's Donald Duck: Goin' Quackers,0.15055912,0.15,,-0.00055912,,,
ZhuZhu Babies,0.080130145,0.08,,-0.000130145,,,
J-League Winning Eleven 2009: Club Championship,0.080356479,0.08,,-0.000356479,,,
Dragon Ball Z: Harukanaru Densetsu (JP sales),0.150020987,0.15,,-2.09868E-05,,,
Ice Age: Dawn of the Dinosaurs,0.170241781,0.17,,-0.000241781,,,
Farming Simulator 2013,0.130207755,0.14,,0.009792245,,,
Cruis'n Exotica,0.210470334,0.21,,-0.000470334,,,
BattleBots: Beyond the BattleBox,0.050354138,0.06,,0.009645862,,,
Myst,2.81019339,2.81,,-0.00019339,,,
NHL 2K8,0.10018526,0.09,,-0.01018526,,,
Pro Yakyuu Team o Tsukurou!,0.190342404,0.19,,-0.000342404,,,
Snow Portable,0.020147547,0.02,,-0.000147547,,,
Suikoden III,0.980093904,0.98,,-9.39038E-05,,,
Star Wars: Battlefront II,0.170814253,0.17,,-0.000814253,,,
Freedom Fighters,0.230829351,0.23,,-0.000829351,,,
Call of Duty: Black Ops 3,14.62894659,14.63,,0.001053413,,,
Hot Shots Golf: Out of Bounds,1.139768034,1.14,,0.000231966,,,
Battle Arena Toshinden 3,0.260094993,0.27,,0.009905007,,,
Tamagotchi no Appare! Niji Venture,0.14002227,0.14,,-2.22704E-05,,,
Dr. Seuss' The Cat in the Hat,0.55025699,0.56,,0.00974301,,,
Tamagotchi Connection: Corner Shop,1.2499974,1.26,,0.0100026,,,
Warriors Orochi 3,0.040454954,0.04,,-0.000454954,,,
FIFA 12,6.639523983,6.65,,0.010476017,,,
SingStar Take That,0.450149402,0.45,,-0.000149402,,,
Knockout Kings 2000,0.920084067,0.92,,-8.40667E-05,,,
Trauma Center: Under the Knife,0.360288724,0.35,,-0.010288724,,,
Pro Yaky? Spirits 2014,0.1403488,0.14,,-0.0003488,,,
Ar Nosurge: Ode to an Unborn Star,0.160142452,0.16,,-0.000142452,,,
Nobunaga's Ambition II,0.040487371,0.04,,-0.000487371,,,
Mega Man Battle Chip Challenge,0.110146731,0.11,,-0.000146731,,,
Bejeweled Twist,0.060781069,0.05,,-0.010781069,,,
Bomberman Jetters,0.080698319,0.08,,-0.000698319,,,
Wii Fit U,0.840143003,0.85,,0.009856997,,,
Peppa Pig: Fun and Games,0.660340801,0.65,,-0.010340801,,,
Samurai Warriors 4-II,0.120565742,0.12,,-0.000565742,,,
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,0.030382872,0.03,,-0.000382872,,,
Legends of WrestleMania,0.390018404,0.39,,-1.84035E-05,,,
Castlevania: Lament of Innocence,0.940040119,0.94,,-4.0119E-05,,,
Power Rangers: Dino Thunder,0.490337417,0.49,,-0.000337417,,,
Zumba Fitness Core,0.070183955,0.06,,-0.010183955,,,
.hack//Link,0.14002227,0.14,,-2.22704E-05,,,
Hamtaro: Ham-Hams Unite!,0.559968531,0.56,,3.14689E-05,,,
Pictionary: Ultimate Edition,0.23028703,0.24,,0.00971297,,,
LEGO City Undercover,1.470528282,1.47,,-0.000528282,,,
Revolution X,0.110688373,0.1,,-0.010688373,,,
Tales of the Tempest,0.180017151,0.18,,-1.71509E-05,,,
Teenage Zombies: Invasion of the Alien Brain Thingys,0.029904835,0.04,,0.010095165,,,
Top Gear Overdrive,0.290467232,0.29,,-0.000467232,,,
Halo 3: ODST,6.349480323,6.34,,-0.009480323,,,
Myst III: Exile,0.290017813,0.28,,-0.010017813,,,
Rock Band Country Track Pack,0.320157461,0.32,,-0.000157461,,,
Broken Sword: Shadows of the Templars - The Director's Cut,0.17013517,0.17,,-0.00013517,,,
RoboCop,0.010600984,0.02,,0.009399016,,,
Puzzle Guzzle,0.020763278,0.02,,-0.000763278,,,
Digimon World: Dawn / Dusk,0.310004197,0.31,,-4.19706E-06,,,
Dakar 2: The World's Ultimate Rally,0.03047841,0.03,,-0.00047841,,,
Armored Core: Nine Breaker,0.070411578,0.07,,-0.000411578,,,
Catwoman,0.050526284,0.06,,0.009473716,,,
MLB SlugFest 2006,0.050222792,0.05,,-0.000222792,,,
DreamWorks Super Star Kartz,0.120274149,0.12,,-0.000274149,,,
Go Diego Go! Safari Rescue,0.510403804,0.52,,0.009596196,,,
Gundam the 3D Battle,0.080444805,0.08,,-0.000444805,,,
GoldenEye: Rogue Agent,0.490581721,0.49,,-0.000581721,,,
Rugby League Live,0.020367034,0.03,,0.009632966,,,
Dora the Explorer: Journey to the Purple Planet,0.243800066,0.24,,-0.003800066,,,
Street Fighter Alpha 3 MAX,0.330159947,0.33,,-0.000159947,,,
Driver: San Francisco,0.690320343,0.7,,0.009679657,,,
World Stadium 2,0.450294651,0.45,,-0.000294651,,,
WipEout Pulse,0.310150728,0.31,,-0.000150728,,,
Assassin's Creed Chronicles,0.070685916,0.07,,-0.000685916,,,
Batman: Arkham Knight,1.490240112,1.49,,-0.000240112,,,
Super Mario 64,11.89988828,11.89,,-0.009888277,,,
Super Mario World,5.470212713,5.46,,-0.010212713,,,
Hot Wheels Ultimate Racing,0.10036546,0.1,,-0.00036546,,,
Persona Q: Shadow of the Labyrinth,0.719583169,0.72,,0.000416831,,,
Mega Man Battle Network 5: Double Team DS (US sales),0.060036756,0.06,,-3.67561E-05,,,
Mushihimesama,0.020452484,0.02,,-0.000452484,,,
The Price is Right: Decades,0.120176725,0.12,,-0.000176725,,,
NFL Fever 2002,0.990120083,0.99,,-0.000120083,,,
XBLAZE Code: Embryo,0.039944939,0.04,,5.50607E-05,,,
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,1.760372348,1.76,,-0.000372348,,,
Cabela's Deer Hunt: 2004 Season,0.220579833,0.21,,-0.010579833,,,
Galidor: Defenders of the Outer Dimension,0.120364703,0.12,,-0.000364703,,,
Ghostbusters: The Video Game,0.840166494,0.84,,-0.000166494,,,
Shin Chan: Las Nuevas Aventuras Para Wii!,0.070446089,0.07,,-0.000446089,,,
Disney Infinity 3.0,0.390427127,0.39,,-0.000427127,,,
Sorry! / Aggravation / Scrabble Junior,0.250377566,0.25,,-0.000377566,,,
Motto NUGA-CEL!,0.020147547,0.02,,-0.000147547,,,
Zero: Tsukihami no Kamen,0.080444805,0.08,,-0.000444805,,,
Remington Super Slam Hunting: Africa,0.27045767,0.27,,-0.00045767,,,
"My World, My Way (US sales)",0.0400379,0.04,,-3.79002E-05,,,
Scrabble (Others sales),0.230875783,0.23,,-0.000875783,,,
The Walking Dead: Season One,0.730090268,0.73,,-9.0268E-05,,,
Frogger: Ancient Shadow,0.100507915,0.1,,-0.000507915,,,
Hakuoki: Reimeiroku DS,0.010453768,0.01,,-0.000453768,,,
WWE '12,0.340394601,0.34,,-0.000394601,,,
Pokemon X/Pokemon Y,14.59877267,14.6,,0.001227325,,,
Watch Dogs,1.250193447,1.25,,-0.000193447,,,
The Golden Compass,0.290267646,0.28,,-0.010267646,,,
Nanatsuiro * Drops Pure!!,0.020147547,0.02,,-0.000147547,,,
Nobunaga's Ambition (3DS),0.040329449,0.04,,-0.000329449,,,
NHL 2005,0.160188958,0.16,,-0.000188958,,,
Back to the Future: The Game,0.020142213,0.02,,-0.000142213,,,
Rock Band,1.620287128,1.62,,-0.000287128,,,
Naruto Shippuden: Gekito Ninja Taisen! EX 2,0.090116397,0.09,,-0.000116397,,,
Rush,0.120651938,0.12,,-0.000651938,,,
Need for Speed: Most Wanted,0.080635972,0.08,,-0.000635972,,,
Bravely Default: Flying Fairy,1.389905192,1.38,,-0.009905192,,,
Family Feud: 2010 Edition,0.260165758,0.26,,-0.000165758,,,
Overlord II,0.320339434,0.32,,-0.000339434,,,
The Legend of Zelda: Tri Force Heroes,1.109859668,1.12,,0.010140332,,,
Planet Puzzle League,0.32066717,0.33,,0.00933283,,,
Pro Evolution Soccer 2008,0.990092248,0.98,,-0.010092248,,,
The Witcher 2: Assassins of Kings,0.899837635,0.9,,0.000162365,,,
NCAA Football 2005,0.680125616,0.68,,-0.000125616,,,
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,0.080117673,0.08,,-0.000117673,,,
Kinect: Disneyland Adventures,2.350033224,2.35,,-3.32236E-05,,,
Brain Voyage,0.080729239,0.08,,-0.000729239,,,
Yoga Wii,0.200347155,0.19,,-0.010347155,,,
Zero Escape: Zero Time Dilemma,0.079996414,0.08,,3.58552E-06,,,
Dead Rising 2,0.010257341,0.02,,0.009742659,,,
Hajime no Ippo Portable: Victorious Spirits,0.060120232,0.06,,-0.000120232,,,
The Smurfs 2,0.180423386,0.18,,-0.000423386,,,
Skylanders Giants,1.050189771,1.06,,0.009810229,,,
Prince of Persia: The Forgotten Sands,0.230571292,0.23,,-0.000571292,,,
Pitfall: The Lost Expedition,0.210325152,0.2,,-0.010325152,,,
Classic NES Series: Ice Climber,0.350479364,0.34,,-0.010479364,,,
Resident Evil - Code: Veronica X,0.060285561,0.06,,-0.000285561,,,
Resident Evil 6,1.950082675,1.95,,-8.26746E-05,,,
Backyard NFL Football '10,0.1103549,0.11,,-0.0003549,,,
Tetris Attack,0.230842695,0.23,,-0.000842695,,,
Dragon Ball Heroes: Ultimate Mission 2 ,0.32045155,0.32,,-0.00045155,,,
Bolt,0.180022001,0.19,,0.009977999,,,
LittleBigPlanet 3,1.909896791,1.91,,0.000103209,,,
Bakumatsu Renka: Karyuu Kenshi-den,0.020147547,0.02,,-0.000147547,,,
Final Fantasy VIII,7.859481752,7.86,,0.000518248,,,
Tekken 6,1.289943382,1.3,,0.010056618,,,
NanoBreaker,0.060147472,0.06,,-0.000147472,,,
Fashion Week Jr. Designer,0.040137239,0.04,,-0.000137239,,,
Utawarerumono: Chiriyukusha e no Komoriuta,0.110136032,0.11,,-0.000136032,,,
The Weakest Link,0.09029799,0.09,,-0.00029799,,,
Get Up and Dance,0.030502431,0.04,,0.009497569,,,
FIFA Soccer 11,3.519694999,3.52,,0.000305001,,,
Dragoneer's Aria,0.069807097,0.07,,0.000192903,,,
F1 2015,0.250381887,0.25,,-0.000381887,,,
Metal Gear Rising: Revengeance,1.419866398,1.42,,0.000133602,,,
WWE SmackDown vs. Raw 2010,0.530315608,0.53,,-0.000315608,,,
EA Sports Grand Slam Tennis,0.920289107,0.91,,-0.010289107,,,
SWAT 4,0.020358577,0.03,,0.009641423,,,
Serious Sam HD: Gold Edition,0.020697586,0.02,,-0.000697586,,,
Watch Dogs,1.570247069,1.57,,-0.000247069,,,
Dr. Mario,4.840476692,4.85,,0.009523308,,,
Etrian Odyssey V,0.12002483,0.12,,-2.48301E-05,,,
BeatMania IIDX 11: IIDX Red,0.020332009,0.02,,-0.000332009,,,
NCAA Football 14,0.840221539,0.84,,-0.000221539,,,
Metal Gear Solid,6.029910661,6.03,,8.93387E-05,,,
Luxor: Pharaoh's Challenge,0.030676827,0.04,,0.009323173,,,
Young Justice: Legacy,0.030572951,0.03,,-0.000572951,,,
LEGO Marvel Super Heroes,0.74033761,0.74,,-0.00033761,,,
The Bard's Tale,0.099981464,0.1,,1.85356E-05,,,
Texas Hold 'Em Poker,0.610257261,0.61,,-0.000257261,,,
Conflict: Vietnam,0.530422993,0.53,,-0.000422993,,,
Bravo Air Race,0.140469514,0.14,,-0.000469514,,,
Saki: Achiga-Hen Portable,0.020147547,0.02,,-0.000147547,,,
Shepherd's Crossing,0.010138243,0.01,,-0.000138243,,,
Brandish: The Dark Revenant,0.020266615,0.02,,-0.000266615,,,
Dragon Ball Z: Shin Budokai,0.540193118,0.54,,-0.000193118,,,
The Chase: Felix Meets Felicity,0.040352799,0.04,,-0.000352799,,,
The Grim Adventures of Billy & Mandy,0.160448104,0.17,,0.009551896,,,
Final Fantasy X / X-2 HD Remaster,1.26985351,1.27,,0.00014649,,,
Imagine: Wedding Designer,1.280032016,1.28,,-3.20163E-05,,,
Worms World Party,0.010422438,0.02,,0.009577562,,,
Parlor! Mini 4,0.190362401,0.19,,-0.000362401,,,
Warriors of Might and Magic,0.180354498,0.17,,-0.010354498,,,
Mortal Kombat 4,0.730093144,0.73,,-9.31439E-05,,,
Army Men World War: Team Assault,0.110446148,0.1,,-0.010446148,,,
Style Savvy: Trendsetters,0.720196016,0.73,,0.009803984,,,
Tetris DS,2.110228829,2.1,,-0.010228829,,,
IHRA Drag Racing: Sportsman Edition,0.010361388,0.02,,0.009638612,,,
Fighters Destiny,0.160120979,0.16,,-0.000120979,,,
Romance of the Three Kingdoms II,0.250460505,0.25,,-0.000460505,,,
Corvette Evolution GT,0.110272527,0.1,,-0.010272527,,,
Watch Dogs,4.049490131,4.05,,0.000509869,,,
Ginga Fukei Densetsu: Sapphire,0.02069471,0.02,,-0.00069471,,,
NASCAR 2011: The Game,0.270375177,0.27,,-0.000375177,,,
